# raw capture of: cargo test --lib probe_filed_interest_sign -- --ignored --nocapture
# worktree: G:/dev/repos/discount_screener/.claude/worktrees/agent-a19c1b1e4036e2768
# branch content: valuation/wave1-integration @ 4d1e916
# pre-existing cargo build warnings from unrelated modules elided above this line; nothing else edited.

running 1 test
=== PROBE D: the filed sign of net interest, before negation or abs() ===
retrieved 2026-08-04T19:34:19.733199600+00:00
negated by the proposed convention: InterestIncomeExpenseNet InterestIncomeExpenseNonoperatingNet
today = |filed| (dcf_model.rs:907 abs on write, :551 and :1590 abs on read)
after = -filed for a negated concept, filed otherwise, with those three sites gone
dFCFF = (after - today) * (1 - tax), the FCFF bridge at dcf_model.rs:1591
dmgn  = the shift in AlignedDriverYear::fcff_margin_bps, the published quantity
prod  = FcfPoint::interest_expense_dollars, the live post-abs value; '!' marks a
         disagreement with |filed| and would mean this reconstruction is wrong

symbol   year winning qname                                    filed $M  sign  neg     today $M     after $M      prod $M       debt $M    tax  guard     dFCFF $M  dmgn bps
CHTR     2025 InterestIncomeExpenseNonoperatingNet              -5042.0     -  yes       5042.0       5042.0      5042.0       94756.0   2269      -          0.0         0
BKR      2015 InterestIncomeExpenseNet                           -120.0     -  yes        120.0        120.0       120.0        absent   3500      -          0.0         0
BKR      2016 InterestIncomeExpenseNet                           -102.0     -  yes        102.0        102.0       102.0          38.0   3500      -          0.0         0
BKR      2017 InterestIncomeExpenseNet                           -131.0     -  yes        131.0        131.0       131.0        6312.0   1301      -          0.0         0
BKR      2018 InterestIncomeExpenseNet                           -223.0     -  yes        223.0        223.0       223.0        6285.0   3500      -          0.0         0
BKR      2019 InterestIncomeExpenseNet                           -237.0     -  yes        237.0        237.0       237.0        6301.0   3500      -          0.0         0
BKR      2020 InterestIncomeExpenseNet                           -264.0     -  yes        264.0        264.0       264.0        6744.0    368      -          0.0         0
BKR      2021 InterestIncomeExpenseNet                           -299.0     -  yes        299.0        299.0       299.0        6687.0   3500      -          0.0         0
BKR      2022 InterestIncomeExpenseNet                           -252.0     -  yes        252.0        252.0       252.0        5980.0   3500      -          0.0         0
BKR      2023 InterestIncomeExpenseNet                           -216.0     -  yes        216.0        216.0       216.0        5872.0   2580      -          0.0         0
BKR      2024 InterestIncomeExpenseNet                           -198.0     -  yes        198.0        198.0       198.0        5970.0    787      -          0.0         0
BKR      2025 InterestIncomeExpenseNet                           -222.0     -  yes        222.0        222.0       222.0        5398.0    879      -          0.0         0
INTU     2008 InterestExpenseDebt                                  52.0     +   no         52.0         52.0        52.0        absent   3500      -          0.0         0
INTU     2009 InterestExpenseDebt                                  51.0     +   no         51.0         51.0        51.0        absent   3155      -          0.0         0
INTU     2010 InterestExpenseDebt                                  61.0     +   no         61.0         61.0        61.0        absent   3411      -          0.0         0
INTU     2011 InterestExpenseDebt                                  60.0     +   no         60.0         60.0        60.0         999.0   3397      -          0.0         0
INTU     2012 InterestExpenseDebt                                  50.0     +   no         50.0         50.0        50.0        absent   3286      -          0.0         0
INTU     2013 InterestExpenseDebt                                  30.0     +   no         30.0         30.0        30.0        absent   3190      -          0.0         0
INTU     2014 InterestExpenseDebt                                  31.0     +   no         31.0         31.0        31.0        absent   3438      -          0.0         0
INTU     2015 InterestExpenseDebt                                  27.0     +   no         27.0         27.0        27.0        absent   3500      -          0.0         0
INTU     2016 InterestExpenseDebt                                  35.0     +   no         35.0         35.0        35.0         488.0   3300      -          0.0         0
INTU     2017 InterestExpenseDebt                                  31.0     +   no         31.0         31.0        31.0         438.0   2914      -          0.0         0
INTU     2018 InterestExpenseDebt                                  20.0     +   no         20.0         20.0        20.0         388.0   1513      -          0.0         0
INTU     2019 InterestExpenseDebt                                  15.0     +   no         15.0         15.0        15.0         386.0   1722      -          0.0         0
INTU     2020 InterestExpenseDebt                                  14.0     +   no         14.0         14.0        14.0        2048.0   1692      -          0.0         0
INTU     2021 InterestExpenseDebt                                  29.0     +   no         29.0         29.0        29.0        2048.0   1933      -          0.0         0
INTU     2022 InterestExpenseDebt                                  81.0     +   no         81.0         81.0        81.0        6914.0   1873      -          0.0         0
INTU     2023 InterestExpenseDebt                                 248.0     +   no        248.0        248.0       248.0        6120.0   2024      -          0.0         0
INTU     2024 InterestExpenseDebt                                 242.0     +   no        242.0        242.0       242.0        6038.0   1654      -          0.0         0
INTU     2025 InterestExpenseDebt                                 247.0     +   no        247.0        247.0       247.0        5973.0   1996      -          0.0         0
TER      2008 -                                                  absent
TER      2009 InterestExpense                                      22.4     +   no         22.4         22.4        22.4        absent    592      -          0.0         0
TER      2010 InterestExpense                                      24.5     +   no         24.5         24.5        24.5         152.6    420      -          0.0         0
TER      2011 InterestExpense                                      23.7     +   no         23.7         23.7        23.7         162.5   3500      -          0.0         0
TER      2012 InterestExpenseDebt                                  23.2     +   no         23.2         23.2        23.2         173.4   1840      -          0.0         0
TER      2013 InterestExpenseDebt                                  25.2     +   no         25.2         25.2        25.2         186.7   1831      -          0.0         0
TER      2014 InterestExpenseDebt                                   6.2     +   no          6.2          6.2         6.2        absent   1479      -          0.0         0
TER      2015 InterestExpense                                       1.9     +   no          1.9          1.9         1.9        absent   1843      -          0.0         0
TER      2016 InterestExpenseDebt                                   1.0     +   no          1.0          1.0         1.0        absent   2114      -          0.0         0
TER      2017 InterestExpenseDebt                                  19.1     +   no         19.1         19.1        19.1        absent   3500      -          0.0         0
